dss_rank,formula,material_id,battery_family,dss_decision,shortlist_score,india_feasibility_score,predicted_stable_probability,predicted_energy_above_hull_clipped,band_gap,is_stable,shortlist_rule_type,short_conceptual_reason
1,Li3Fe2(PO4)3,mp-19430,LFP-family,Best near-term purchase direction,59.52,98,0.16767046,0.011649002,2.4773,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0116; stable probability 0.1677.
2,Li9Fe3P8O29,mp-554093,LFP-family,Best near-term purchase direction,59.1,98,0.1472201,0.009104118,2.5479,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0091; stable probability 0.1472.
3,LiFeP2(HO3)2,mp-1195117,LFP-family,Best near-term purchase direction,57.42,94,0.17289971,0.016301585,2.7734,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0163; stable probability 0.1729.
4,LiFeP2O7,mp-19294,LFP-family,Best near-term purchase direction,57.26,100,0.2221644,0.038671542,1.7443,True,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0387; stable probability 0.2222.
5,LiFePO4,mp-19017,LFP-family,Best near-term purchase direction,56.48,100,0.13813923,0.023703082,3.9224,True,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0237; stable probability 0.1381.
6,Li2Fe3(P2O7)2,mp-26985,LFP-family,Best near-term purchase direction,56.39,98,0.11544099,0.01552477,3.9224,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0155; stable probability 0.1154.
7,NaLiFePO4F,mp-1198378,LFP-family,Best near-term purchase direction,56.22,94,0.16727781,0.021042392,4.3042,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0210; stable probability 0.1673.
8,Li3Fe2(PO4)3,mp-6373,LFP-family,Best near-term purchase direction,55.5,98,0.13168135,0.023631247,2.4096,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0236; stable probability 0.1317.
9,Li3Fe2(PO4)3,mp-25993,LFP-family,Best near-term purchase direction,55.32,98,0.12640509,0.023346053,2.6074,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0233; stable probability 0.1264.
10,LiFe(PO3)3,mp-504179,LFP-family,Best near-term purchase direction,54.88,98,0.13213262,0.02685131,4.1851,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0269; stable probability 0.1321.
11,Li3Fe2P2(CO7)2,mp-768618,LFP-family,Best near-term purchase direction,54.47,98,0.0037309455,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0000; stable probability 0.0037.
12,Li5Fe2P2(CO7)2,mp-768667,LFP-family,Best near-term purchase direction,54.47,98,0.0037309455,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0000; stable probability 0.0037.
13,Li3Fe2P2(CO7)2,mp-756197,LFP-family,Best near-term purchase direction,54.41,98,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0000; stable probability 0.0024.
14,Li3VFeP2(O4F)2,mp-1177545,LFP-family,Best near-term purchase direction,53.86,100,0.089776345,0.025876654,2.4464,True,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0259; stable probability 0.0898.
15,LiFePCO7,mp-25406,LFP-family,Best near-term purchase direction,53.77,96,0.0037309455,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0037.
16,LiFePCO7,mp-768562,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
17,LiFePCO7,mp-768629,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
18,LiFePCO7,mp-768630,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
19,LiFePCO7,mp-779262,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
20,LiFePCO7,mp-779778,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
21,LiFePCO7,mp-1176696,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
22,LiFePCO7,mp-1176704,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
23,LiFePCO7,mp-1176714,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
24,Li3Fe2P2(CO7)2,mp-1177738,LFP-family,Best near-term purchase direction,53.71,96,0.0023854375,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 96; predicted hull 0.0000; stable probability 0.0024.
