pca_component_count,kernel_name,entanglement_strength,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
4,product,0.0,pi_over_2,1.570796,0.1,16,800,4,0.8013,0.7988,0.81,0.8034
4,product,0.0,pi_over_2,1.570796,0.5,16,800,4,0.8262,0.8131,0.8525,0.8312
4,product,0.0,pi_over_2,1.570796,1.0,16,800,4,0.8375,0.8267,0.86,0.8416
4,product,0.0,pi_over_2,1.570796,2.0,16,800,4,0.8412,0.8314,0.86,0.8446
4,product,0.0,pi_over_2,1.570796,5.0,16,800,4,0.8375,0.8248,0.86,0.8414
4,product,0.0,pi_over_2,1.570796,10.0,16,800,4,0.8362,0.8184,0.8675,0.8416
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.1,16,800,4,0.8012,0.8012,0.805,0.8025
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.5,16,800,4,0.83,0.8165,0.8575,0.8352
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,1.0,16,800,4,0.8375,0.8258,0.8625,0.8422
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,2.0,16,800,4,0.8438,0.8329,0.865,0.8476
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,5.0,16,800,4,0.8362,0.8243,0.8575,0.84
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,10.0,16,800,4,0.8375,0.822,0.865,0.8422
4,entangled_pi,3.141593,pi_over_2,1.570796,0.1,16,800,4,0.8,0.8034,0.8,0.8006
4,entangled_pi,3.141593,pi_over_2,1.570796,0.5,16,800,4,0.8312,0.8168,0.86,0.8366
4,entangled_pi,3.141593,pi_over_2,1.570796,1.0,16,800,4,0.8362,0.8218,0.865,0.8415
4,entangled_pi,3.141593,pi_over_2,1.570796,2.0,16,800,4,0.8425,0.8295,0.8675,0.8469
4,entangled_pi,3.141593,pi_over_2,1.570796,5.0,16,800,4,0.8375,0.8272,0.8575,0.8412
4,entangled_pi,3.141593,pi_over_2,1.570796,10.0,16,800,4,0.8338,0.8195,0.86,0.8384
4,product,0.0,pi,3.141593,0.1,16,800,4,0.835,0.8305,0.85,0.8382
4,product,0.0,pi,3.141593,0.5,16,800,4,0.8375,0.8286,0.855,0.8408
4,product,0.0,pi,3.141593,1.0,16,800,4,0.8388,0.827,0.8625,0.8432
4,product,0.0,pi,3.141593,2.0,16,800,4,0.835,0.8206,0.8625,0.84
4,product,0.0,pi,3.141593,5.0,16,800,4,0.8388,0.826,0.865,0.8437
4,product,0.0,pi,3.141593,10.0,16,800,4,0.8388,0.8258,0.865,0.8436
4,entangled_pi_over_2,1.570796,pi,3.141593,0.1,16,800,4,0.8375,0.8328,0.8525,0.8405
4,entangled_pi_over_2,1.570796,pi,3.141593,0.5,16,800,4,0.84,0.8342,0.8525,0.8426
4,entangled_pi_over_2,1.570796,pi,3.141593,1.0,16,800,4,0.8362,0.8274,0.855,0.84
4,entangled_pi_over_2,1.570796,pi,3.141593,2.0,16,800,4,0.835,0.8219,0.86,0.8396
4,entangled_pi_over_2,1.570796,pi,3.141593,5.0,16,800,4,0.84,0.8277,0.865,0.8446
4,entangled_pi_over_2,1.570796,pi,3.141593,10.0,16,800,4,0.84,0.8277,0.865,0.8446
4,entangled_pi,3.141593,pi,3.141593,0.1,16,800,4,0.8438,0.8357,0.8625,0.8474
4,entangled_pi,3.141593,pi,3.141593,0.5,16,800,4,0.84,0.8342,0.8525,0.8426
4,entangled_pi,3.141593,pi,3.141593,1.0,16,800,4,0.8412,0.8333,0.8575,0.8444
