dss_rank,material_id,formula,battery_family,dss_decision,shortlist_score,india_feasibility_score,predicted_stable_probability,predicted_energy_above_hull_clipped,band_gap,is_stable,shortlist_rule_type,short_conceptual_reason
1,mp-19430,Li3Fe2(PO4)3,LFP-family,Best near-term purchase direction,59.52,98,0.16767046,0.011649002,2.4773,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0116; stable probability 0.1677.
2,mp-554093,Li9Fe3P8O29,LFP-family,Best near-term purchase direction,59.1,98,0.1472201,0.009104118,2.5479,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0091; stable probability 0.1472.
3,mp-1195117,LiFeP2(HO3)2,LFP-family,Best near-term purchase direction,57.42,94,0.17289971,0.016301585,2.7734,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0163; stable probability 0.1729.
4,mp-19294,LiFeP2O7,LFP-family,Best near-term purchase direction,57.26,100,0.2221644,0.038671542,1.7443,True,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0387; stable probability 0.2222.
5,mp-19017,LiFePO4,LFP-family,Best near-term purchase direction,56.48,100,0.13813923,0.023703082,3.9224,True,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 100; predicted hull 0.0237; stable probability 0.1381.
6,mp-26985,Li2Fe3(P2O7)2,LFP-family,Best near-term purchase direction,56.39,98,0.11544099,0.01552477,3.9224,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0155; stable probability 0.1154.
7,mp-1198378,NaLiFePO4F,LFP-family,Best near-term purchase direction,56.22,94,0.16727781,0.021042392,4.3042,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 94; predicted hull 0.0210; stable probability 0.1673.
8,mp-6373,Li3Fe2(PO4)3,LFP-family,Best near-term purchase direction,55.5,98,0.13168135,0.023631247,2.4096,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0236; stable probability 0.1317.
9,mp-25993,Li3Fe2(PO4)3,LFP-family,Best near-term purchase direction,55.32,98,0.12640509,0.023346053,2.6074,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0233; stable probability 0.1264.
10,mp-504179,LiFe(PO3)3,LFP-family,Best near-term purchase direction,54.88,98,0.13213262,0.02685131,4.1851,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0269; stable probability 0.1321.
11,mp-768618,Li3Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,54.47,98,0.0037309455,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0000; stable probability 0.0037.
12,mp-768667,Li5Fe2P2(CO7)2,LFP-family,Best near-term purchase direction,54.47,98,0.0037309455,0.0,0.0,False,Benchmark family exception,India-friendly iron phosphate chemistry; avoids nickel and cobalt. India score 98; predicted hull 0.0000; stable probability 0.0037.
