material_id,formula,battery_family,india_feasibility_score,india_decision_label,target_is_stable,improved_pca_1,improved_pca_2,improved_pca_3,improved_pca_4,improved_pca_5,improved_pca_6,improved_pca_7,improved_pca_8
mp-859106,Li3Ni2(PO3)7,Other lithium material,49,Caution,0,0.62435,0.268852,0.038264,0.783015,0.33932,0.574222,0.506131,0.423167
mp-774464,LiCo(SO4)2,LCO-family,42,Avoid / Benchmark,0,0.87867,0.634239,0.252486,0.484457,5.5e-05,0.718761,0.353309,0.414591
mp-1178081,Li12Mn3CoP4(CO7)4,LCO-family,48,Avoid / Benchmark,0,1.0,0.583175,0.82111,0.382617,0.321034,0.765161,0.488407,0.591721
mp-1307939,Li4Co3NiO8,LCO-family,37,Avoid / Benchmark,0,0.876859,0.637587,0.253306,0.485342,0.0,0.719045,0.353283,0.414368
mp-3252438,LiLa7CeIr6,Other lithium material,61,Caution,1,0.143929,0.547283,0.474518,0.696462,0.481105,0.619911,0.393629,0.288757
mp-1176025,Li9Mn2Co5O16,LCO-family,44,Avoid / Benchmark,0,0.843933,0.99952,0.385959,0.616468,0.168518,0.537934,0.31704,0.658983
mp-10251,LiDyO2,Other lithium material,55,Caution,0,0.610042,0.006663,0.646844,0.57247,0.49888,0.298538,0.364268,0.533525
mp-1316064,Li2V3SbO8,Other lithium material,55,Caution,0,0.621856,0.135461,0.641986,0.742212,0.481851,0.616248,0.622325,0.390157
mp-1222533,Li4SiGe3O10,Silicon-family,77,Research Candidate,0,0.762273,0.468469,0.090186,0.659756,0.394918,0.600236,0.428827,0.158401
mp-3249849,LiCeCdPt3,Other lithium material,51,Caution,1,0.136892,0.549344,0.473122,0.68694,0.481138,0.616982,0.403294,0.288407
mp-777875,LiFeF4,Other lithium material,54,Caution,0,0.321064,0.219362,0.301542,0.57516,0.538744,0.949946,0.354564,0.599854
mp-3249015,LiPmInAg,Other lithium material,61,Caution,1,0.028792,0.603809,0.456566,0.509322,0.493159,0.563958,0.698251,0.445087
mp-757188,Li2MnSi4O11,LMO-family,82,Research Candidate,0,0.790987,0.609586,0.284323,0.433259,0.868985,0.560794,0.60129,0.27562
mp-765412,Li4V3P8O29,Other lithium material,55,Caution,0,0.613233,0.313888,0.050805,0.810318,0.339471,0.578053,0.502421,0.428803
mp-757311,Li2Fe3(Si3O8)2,Silicon-family,80,Research Candidate,0,0.773393,0.429563,0.079209,0.637114,0.395011,0.596122,0.433767,0.15547
mp-1110938,K2LiPrI6,Other lithium material,51,Caution,0,0.160993,0.341348,0.299135,0.312618,0.509199,0.748793,0.746136,0.428984
mp-3247032,LiTmUPt3,Other lithium material,61,Caution,1,0.305401,0.427614,0.822642,0.854417,0.56345,0.676005,0.331508,0.404635
mp-1177159,Li5Fe4(P2O7)4,LFP-family,94,Recommend,0,0.766653,0.453043,0.085906,0.650941,0.394924,0.598797,0.430287,0.156993
mp-759028,Li3Sb3(PO4)4,Other lithium material,53,Caution,0,0.631977,0.11445,0.637421,0.737089,0.481839,0.616291,0.617983,0.388594
mp-3252103,LiTbDyRu,Other lithium material,61,Caution,1,0.028015,0.604443,0.456789,0.509289,0.493075,0.564309,0.697572,0.444411
mp-1373887,Li9Mn2Co5O16,LCO-family,39,Avoid / Benchmark,0,0.961343,0.780691,0.242414,0.447234,0.183595,0.732052,0.347663,0.639152
mp-3239824,Li2LaPt3,Other lithium material,61,Caution,1,0.112363,0.555861,0.474478,0.663977,0.484,0.611984,0.414916,0.294299
mp-867926,LiInPd2,Other lithium material,61,Caution,1,0.016662,0.605996,0.459733,0.501379,0.496116,0.562957,0.695859,0.452696
mp-850927,Li2Co(SO4)2,LCO-family,46,Avoid / Benchmark,0,0.78077,0.54485,0.499319,0.312837,0.060562,0.715733,0.479803,0.2666
mp-3329272,Li2PrP2Pd,Other lithium material,63,Caution,1,0.139904,0.547938,0.473233,0.689704,0.481238,0.617366,0.401408,0.289379
mp-3241091,LiBe4Pt,Other lithium material,51,Caution,1,0.020891,0.604912,0.460715,0.507488,0.496063,0.564973,0.689387,0.452664
mp-862554,LiEr2Ir,Other lithium material,61,Caution,1,0.016697,0.605967,0.459723,0.501381,0.49612,0.562941,0.695889,0.452726
mp-1176154,Li9Mn2Co5O16,LCO-family,39,Avoid / Benchmark,0,0.843344,1.0,0.386128,0.616442,0.168454,0.5382,0.316526,0.658471
mp-550798,Li4CO4,Carbon-family,80,Recommend,0,0.771978,0.268391,0.680419,0.582156,0.540027,0.639677,0.53518,0.124131
mp-1110937,K2LiSbI6,Other lithium material,51,Caution,0,0.154937,0.35851,0.30399,0.321641,0.509025,0.750973,0.743285,0.429095
