pca_component_count,kernel_name,entanglement_strength,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
4,product,0.0,pi_over_2,1.570796,0.1,16,800,4,0.79,0.79,0.795,0.7917
4,product,0.0,pi_over_2,1.570796,0.5,16,800,4,0.7962,0.7922,0.8075,0.7991
4,product,0.0,pi_over_2,1.570796,1.0,16,800,4,0.7975,0.789,0.815,0.8013
4,product,0.0,pi_over_2,1.570796,2.0,16,800,4,0.8175,0.7993,0.8525,0.8242
4,product,0.0,pi_over_2,1.570796,5.0,16,800,4,0.8262,0.8086,0.86,0.8324
4,product,0.0,pi_over_2,1.570796,10.0,16,800,4,0.8262,0.8076,0.8625,0.8328
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.1,16,800,4,0.7912,0.7918,0.795,0.7926
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.5,16,800,4,0.7988,0.7931,0.8125,0.802
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,1.0,16,800,4,0.7962,0.7885,0.8125,0.7998
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,2.0,16,800,4,0.815,0.7968,0.85,0.8217
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,5.0,16,800,4,0.8225,0.8016,0.8625,0.8297
4,entangled_pi_over_2,1.570796,pi_over_2,1.570796,10.0,16,800,4,0.825,0.8064,0.8625,0.832
4,entangled_pi,3.141593,pi_over_2,1.570796,0.1,16,800,4,0.79,0.7926,0.79,0.7905
4,entangled_pi,3.141593,pi_over_2,1.570796,0.5,16,800,4,0.8,0.7936,0.815,0.8035
4,entangled_pi,3.141593,pi_over_2,1.570796,1.0,16,800,4,0.7888,0.7767,0.815,0.7948
4,entangled_pi,3.141593,pi_over_2,1.570796,2.0,16,800,4,0.8025,0.7814,0.845,0.811
4,entangled_pi,3.141593,pi_over_2,1.570796,5.0,16,800,4,0.8125,0.7859,0.8675,0.823
4,entangled_pi,3.141593,pi_over_2,1.570796,10.0,16,800,4,0.8125,0.7869,0.865,0.8226
4,product,0.0,pi,3.141593,0.1,16,800,4,0.7975,0.7982,0.8,0.7986
4,product,0.0,pi,3.141593,0.5,16,800,4,0.83,0.813,0.8625,0.8359
4,product,0.0,pi,3.141593,1.0,16,800,4,0.8325,0.8166,0.8625,0.8379
4,product,0.0,pi,3.141593,2.0,16,800,4,0.8362,0.8221,0.8625,0.8409
4,product,0.0,pi,3.141593,5.0,16,800,4,0.8387,0.8242,0.865,0.8433
4,product,0.0,pi,3.141593,10.0,16,800,4,0.8362,0.8184,0.87,0.8422
4,entangled_pi_over_2,1.570796,pi,3.141593,0.1,16,800,4,0.7975,0.8004,0.7975,0.7982
4,entangled_pi_over_2,1.570796,pi,3.141593,0.5,16,800,4,0.8275,0.8108,0.86,0.8335
4,entangled_pi_over_2,1.570796,pi,3.141593,1.0,16,800,4,0.8338,0.8198,0.86,0.8385
4,entangled_pi_over_2,1.570796,pi,3.141593,2.0,16,800,4,0.8375,0.824,0.8625,0.8419
4,entangled_pi_over_2,1.570796,pi,3.141593,5.0,16,800,4,0.8412,0.8279,0.865,0.8453
4,entangled_pi_over_2,1.570796,pi,3.141593,10.0,16,800,4,0.8375,0.8203,0.87,0.8432
4,entangled_pi,3.141593,pi,3.141593,0.1,16,800,4,0.7838,0.7922,0.775,0.7827
4,entangled_pi,3.141593,pi,3.141593,0.5,16,800,4,0.82,0.8016,0.855,0.8265
