material_id,formula,space_group_number,crystal_system,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_metal,theoretical,deprecated
mp-3249268,LiEr2Si3Ag,12,Monoclinic,-0.611053897,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249356,Li6Lu2UN6,162,Trigonal,-1.350548059,0,TRUE,1.4505,FALSE,TRUE,FALSE
mp-3249358,Li4Yb(Cu2P3)2,71,Orthorhombic,-0.641147036,0.019310397,FALSE,0,TRUE,TRUE,FALSE
mp-3249359,LiLa7PaIr6,146,Trigonal,-0.794097496,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249397,LiTbPdPb,216,Cubic,-0.733753762,0,TRUE,0.3773,FALSE,TRUE,FALSE
mp-3249412,LiYbGePd3,160,Trigonal,-0.801124487,0.030330897,FALSE,0,TRUE,TRUE,FALSE
mp-3249419,LiLa(AgAs)2,164,Trigonal,-0.826897069,0,TRUE,0.4281,FALSE,TRUE,FALSE
mp-3249432,LiYb2TcH6,225,Cubic,-0.433758926,0.168221301,FALSE,0,TRUE,TRUE,FALSE
mp-3249441,LiTmFeH6,216,Cubic,-0.55303985,0,TRUE,2.2008,FALSE,TRUE,FALSE
mp-3249443,LiPrZnPt3,160,Trigonal,-0.931472747,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249494,Li3Ho3InSn2,189,Hexagonal,-0.655054651,0,TRUE,0,TRUE,TRUE,FALSE
mp-32495,Li3V3(PO4)4,14,Monoclinic,-2.690028727,0.031367457,FALSE,1.8406,FALSE,TRUE,FALSE
mp-3249500,LiAcAs2O7,5,Monoclinic,-2.093441617,0,TRUE,4.2076,FALSE,TRUE,FALSE
mp-3249519,Li3Ca2YbPb3,187,Hexagonal,-0.591466173,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249522,LiYb(NiH3)2,225,Cubic,-0.465471827,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249552,LiPrSnPd,216,Cubic,-0.812309487,0,TRUE,0.4336,FALSE,TRUE,FALSE
mp-3249567,LiDyCu4,216,Cubic,-0.196594165,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249586,Li2ThUN4,119,Tetragonal,-1.48655709,0,TRUE,1.5776,FALSE,TRUE,FALSE
mp-3249593,LiNdMgHg,216,Cubic,-0.384183597,0,TRUE,0.1483,FALSE,TRUE,FALSE
mp-3249596,Li2NdCuAs2,156,Trigonal,-1.014354634,0,TRUE,0.1806,FALSE,TRUE,FALSE
mp-3249601,LiHo(NiPt)2,44,Orthorhombic,-0.729951575,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249647,Li4ErUS6,5,Monoclinic,-1.790152562,0,TRUE,1.416,FALSE,TRUE,FALSE
mp-3249678,LiNdFeH6,216,Cubic,-0.509696772,0,TRUE,2.0596,FALSE,TRUE,FALSE
mp-3249682,LiHo2BRh5,107,Tetragonal,-0.786751524,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249688,Li3Pr3HgBi2,189,Hexagonal,-0.748708814,0,TRUE,0.0694,FALSE,TRUE,FALSE
mp-3249707,Li3Ho3HgP2,189,Hexagonal,-0.997997538,0,TRUE,0.0322,FALSE,TRUE,FALSE
mp-3249726,LiPrPdPb,216,Cubic,-0.70367877,0,TRUE,0.365,FALSE,TRUE,FALSE
mp-3249740,LiPrInAg,216,Cubic,-0.456354881,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249753,LiHoHgPb,216,Cubic,-0.520153702,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249757,NaLiPrPt3,160,Trigonal,-0.852551863,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249758,LiSmNi4,216,Cubic,-0.251978144,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249760,LiPmPtPb,216,Cubic,-0.835880921,0,TRUE,0.4502,FALSE,TRUE,FALSE
mp-3249766,Li2Tb2Si2Ge,63,Orthorhombic,-0.740540527,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249826,Li3AcSb2,164,Trigonal,-1.026766438,0,TRUE,0.566,FALSE,TRUE,FALSE
mp-3249834,LiPmGaCu,216,Cubic,-0.394409364,0,TRUE,0.0274,FALSE,TRUE,FALSE
mp-3249837,Li2ThP2,164,Trigonal,-1.230777744,0,TRUE,1.5819,FALSE,TRUE,FALSE
mp-3249849,LiCeCdPt3,160,Trigonal,-0.888349478,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249854,LiSm2Si4Pd,38,Orthorhombic,-0.801567655,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249871,Li3Ca2AcPb3,156,Trigonal,-0.631654783,0,TRUE,0,TRUE,TRUE,FALSE
mp-3249901,Li4Yb4AsP3,6,Monoclinic,-1.039194709,0.061953044,FALSE,0,TRUE,TRUE,FALSE
mp-3249913,BaLiPrS3,63,Orthorhombic,-2.170489569,0,TRUE,2.221,FALSE,TRUE,FALSE
mp-3249922,Li2CeTcH6,216,Cubic,-0.526565471,0,TRUE,0.8104,FALSE,TRUE,FALSE
mp-3249954,Li4TbPaS6,5,Monoclinic,-1.843229846,0,TRUE,2.3006,FALSE,TRUE,FALSE
mp-3249961,LiTbCr2O8,119,Tetragonal,-2.383087566,0,TRUE,2.3199,FALSE,TRUE,FALSE
mp-3250018,Li2PrYPb2,164,Trigonal,-0.691001449,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250027,LiPrPt3Rh,160,Trigonal,-0.843165458,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250035,LiDy(NiPt)2,44,Orthorhombic,-0.727458219,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250056,LiErHgPb,216,Cubic,-0.509622499,0,TRUE,0.032,FALSE,TRUE,FALSE
mp-3250061,NaLi2AcP2,164,Trigonal,-1.067736976,0,TRUE,1.2047,FALSE,TRUE,FALSE
mp-3250067,Li2DyThSi3,63,Orthorhombic,-0.64425855,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250068,LiYb4RuC8,23,Orthorhombic,-0.301829778,0.038876896,FALSE,0,TRUE,TRUE,FALSE
mp-3250075,Li2Er2Si3,63,Orthorhombic,-0.637523985,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250098,Li3Dy3CdSb2,189,Hexagonal,-0.785013261,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250105,Li3Tb3HgBi2,189,Hexagonal,-0.721651813,0,TRUE,0.1138,FALSE,TRUE,FALSE
mp-3250117,Li4PuO5,87,Tetragonal,-2.521164232,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250125,K2Li2CeS4,12,Monoclinic,-1.724321511,0,TRUE,1.313,FALSE,TRUE,FALSE
mp-3250133,Li3Ac2ErGe3,38,Orthorhombic,-0.727852805,0,TRUE,0.0416,FALSE,TRUE,FALSE
mp-3250140,LiLa(BIr)4,22,Orthorhombic,-0.69910346,0,TRUE,0,TRUE,TRUE,FALSE
mp-32502,LiV(PO3)4,12,Monoclinic,-2.638722917,0.033245772,FALSE,2.244,FALSE,TRUE,FALSE
mp-3250218,BaLi2La4O8,12,Monoclinic,-3.290047155,0,TRUE,3.5473,FALSE,TRUE,FALSE
mp-3250222,Li2Nd2Si2Sb,63,Orthorhombic,-0.871130655,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250230,Li2Pr3ThSi6,42,Orthorhombic,-0.702915226,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250338,LiHo2Ag3O8,2,Triclinic,-1.744307014,0,TRUE,1.0786,FALSE,TRUE,FALSE
mp-3250343,Li(La4Pt3)2,148,Trigonal,-1.082919964,0,TRUE,0,TRUE,TRUE,FALSE
mp-3250344,Li6Tm2NpN6,162,Trigonal,-1.294533551,0,TRUE,1.6319,FALSE,TRUE,FALSE
mp-3250351,Li2Sm2Si2Sn,63,Orthorhombic,-0.739119023,0,TRUE,0,TRUE,TRUE,FALSE
