feature_count,feature_names,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi_over_2,1.570796,0.1,16,800,4,0.7038,0.7593,0.5975,0.6678
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi_over_2,1.570796,0.5,16,800,4,0.7325,0.7496,0.7,0.723
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi_over_2,1.570796,1.0,16,800,4,0.7563,0.7554,0.76,0.7572
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi_over_2,1.570796,2.0,16,800,4,0.7862,0.7685,0.82,0.7932
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi_over_2,1.570796,5.0,16,800,4,0.7875,0.765,0.83,0.7959
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi_over_2,1.570796,10.0,16,800,4,0.7825,0.759,0.8275,0.7917
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi,3.141593,0.1,16,800,4,0.7275,0.7485,0.6875,0.7159
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi,3.141593,0.5,16,800,4,0.7838,0.7629,0.825,0.7924
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi,3.141593,1.0,16,800,4,0.7825,0.7625,0.8225,0.791
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi,3.141593,2.0,16,800,4,0.7825,0.7633,0.8225,0.7911
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi,3.141593,5.0,16,800,4,0.785,0.7708,0.815,0.7914
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,pi,3.141593,10.0,16,800,4,0.79,0.7853,0.8025,0.7929
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,two_pi,6.283185,0.1,16,800,4,0.7438,0.7173,0.805,0.7578
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,two_pi,6.283185,0.5,16,800,4,0.7425,0.7499,0.73,0.7385
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,two_pi,6.283185,1.0,16,800,4,0.755,0.7681,0.735,0.7492
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,two_pi,6.283185,2.0,16,800,4,0.75,0.77,0.7175,0.7411
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,two_pi,6.283185,5.0,16,800,4,0.7537,0.7752,0.72,0.745
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements,two_pi,6.283185,10.0,16,800,4,0.7562,0.776,0.725,0.7482
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p,pi_over_2,1.570796,0.1,64,800,4,0.72,0.7781,0.615,0.6866
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p,pi_over_2,1.570796,0.5,64,800,4,0.7612,0.762,0.76,0.7608
