material_id,formula,crystal_system,battery_family,is_stable,energy_above_hull,band_gap,india_feasibility_score,india_decision_label,india_rule_reason,predicted_stable_probability,predicted_is_stable,predicted_energy_above_hull,final_recommendation_score,parsed_elements,blocked_elements,predicted_energy_above_hull_clipped,family_rank,shortlist_rule_type,shortlist_rejection_reason,shortlist_score
mp-19430,Li3Fe2(PO4)3,Trigonal,LFP-family,False,0.010260172,2.4773,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.16767046,False,0.011649002,49.26,Fe;Li;O;P,,0.011649002,1,Benchmark family exception,Included in final shortlist,59.52
mp-554093,Li9Fe3P8O29,Trigonal,LFP-family,False,0.002551182,2.5479,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.1472201,False,0.009104118,48.03,Fe;Li;O;P,,0.009104118,1,Benchmark family exception,Included in final shortlist,59.1
mp-1195117,LiFeP2(HO3)2,Tetragonal,LFP-family,False,0.084904601,2.7734,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.17289971,False,0.016301585,47.97,Fe;H;Li;O;P,,0.016301585,1,Benchmark family exception,Included in final shortlist,57.42
mp-19294,LiFeP2O7,Monoclinic,LFP-family,True,0.0,1.7443,100,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.2221644,False,0.038671542,53.33,Fe;Li;O;P,,0.038671542,1,Benchmark family exception,Included in final shortlist,57.26
mp-19017,LiFePO4,Orthorhombic,LFP-family,True,0.0,3.9224,100,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.13813923,False,0.023703082,48.29,Fe;Li;O;P,,0.023703082,1,Benchmark family exception,Included in final shortlist,56.48
mp-26985,Li2Fe3(P2O7)2,Monoclinic,LFP-family,False,0.004125617,3.9224,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.11544099,False,0.01552477,46.13,Fe;Li;O;P,,0.01552477,1,Benchmark family exception,Included in final shortlist,56.39
mp-1198378,NaLiFePO4F,Orthorhombic,LFP-family,False,0.009512439,4.3042,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.16727781,False,0.021042392,47.64,F;Fe;Li;Na;O;P,,0.021042392,1,Benchmark family exception,Included in final shortlist,56.22
mp-6373,Li3Fe2(PO4)3,Monoclinic,LFP-family,False,0.006432477,2.4096,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.13168135,False,0.023631247,47.1,Fe;Li;O;P,,0.023631247,1,Benchmark family exception,Included in final shortlist,55.5
mp-25993,Li3Fe2(PO4)3,Monoclinic,LFP-family,False,0.005395785,2.6074,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.12640509,False,0.023346053,46.78,Fe;Li;O;P,,0.023346053,1,Benchmark family exception,Included in final shortlist,55.32
mp-504179,LiFe(PO3)3,Orthorhombic,LFP-family,False,0.003014161,4.1851,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.13213262,False,0.02685131,47.13,Fe;Li;O;P,,0.02685131,1,Benchmark family exception,Included in final shortlist,54.88
