feature_set_name,feature_count,feature_names,kernel_name,entanglement_strength,angle_scale,angle_scale_value,quantum_state_size,kernel_target_alignment,c_value,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi,3.141593,pi_over_2,1.570796,16,0.395916,0.5,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi,3.141593,pi_over_2,1.570796,16,0.395916,1.0,0.8362,0.813,0.8775,0.8432
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi,3.141593,pi_over_2,1.570796,16,0.395916,2.0,0.8375,0.8133,0.88,0.8446
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi,3.141593,pi_over_2,1.570796,16,0.395916,5.0,0.8375,0.8133,0.88,0.8446
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi_over_2,1.570796,pi_over_2,1.570796,16,0.395558,0.5,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi_over_2,1.570796,pi_over_2,1.570796,16,0.395558,1.0,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi_over_2,1.570796,pi_over_2,1.570796,16,0.395558,2.0,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi_over_2,1.570796,pi_over_2,1.570796,16,0.395558,5.0,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,product,0.0,pi_over_2,1.570796,16,0.394905,0.5,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,product,0.0,pi_over_2,1.570796,16,0.394905,1.0,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,product,0.0,pi_over_2,1.570796,16,0.394905,2.0,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,product,0.0,pi_over_2,1.570796,16,0.394905,5.0,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,product,0.0,pi,3.141593,16,0.385753,0.5,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,product,0.0,pi,3.141593,16,0.385753,1.0,0.8412,0.8206,0.8775,0.8472
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,product,0.0,pi,3.141593,16,0.385753,2.0,0.845,0.8301,0.8725,0.8497
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,product,0.0,pi,3.141593,16,0.385753,5.0,0.85,0.8388,0.87,0.8534
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi_over_2,1.570796,pi,3.141593,16,0.382946,0.5,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi_over_2,1.570796,pi,3.141593,16,0.382946,1.0,0.8412,0.8206,0.8775,0.8472
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi_over_2,1.570796,pi,3.141593,16,0.382946,2.0,0.845,0.8301,0.8725,0.8497
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi_over_2,1.570796,pi,3.141593,16,0.382946,5.0,0.8512,0.841,0.87,0.8544
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi,3.141593,pi,3.141593,16,0.378537,0.5,0.8375,0.8148,0.8775,0.8441
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi,3.141593,pi,3.141593,16,0.378537,1.0,0.84,0.8184,0.8775,0.8461
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi,3.141593,pi,3.141593,16,0.378537,2.0,0.845,0.8301,0.8725,0.8497
rf_top_4,4,formation_energy_per_atom;has_o;space_group_number;theoretical,entangled_pi,3.141593,pi,3.141593,16,0.378537,5.0,0.8538,0.8432,0.8725,0.8568
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,entangled_pi,3.141593,pi_over_2,1.570796,64,0.354852,0.5,0.8388,0.8151,0.88,0.8455
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,entangled_pi,3.141593,pi_over_2,1.570796,64,0.354852,1.0,0.8412,0.8159,0.885,0.8484
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,entangled_pi,3.141593,pi_over_2,1.570796,64,0.354852,2.0,0.8425,0.8163,0.8875,0.8498
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,entangled_pi,3.141593,pi_over_2,1.570796,64,0.354852,5.0,0.8462,0.8271,0.88,0.8519
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,entangled_pi_over_2,1.570796,pi_over_2,1.570796,64,0.354203,0.5,0.8375,0.8148,0.8775,0.8441
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,entangled_pi_over_2,1.570796,pi_over_2,1.570796,64,0.354203,1.0,0.8375,0.8148,0.8775,0.8441
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,entangled_pi_over_2,1.570796,pi_over_2,1.570796,64,0.354203,2.0,0.8388,0.8151,0.88,0.8455
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,entangled_pi_over_2,1.570796,pi_over_2,1.570796,64,0.354203,5.0,0.845,0.8296,0.8725,0.8496
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,product,0.0,pi_over_2,1.570796,64,0.353387,0.5,0.8375,0.8148,0.8775,0.8441
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,product,0.0,pi_over_2,1.570796,64,0.353387,1.0,0.8375,0.8148,0.8775,0.8441
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,product,0.0,pi_over_2,1.570796,64,0.353387,2.0,0.8362,0.8142,0.875,0.8428
rf_top_6,6,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material,product,0.0,pi_over_2,1.570796,64,0.353387,5.0,0.8412,0.8236,0.8725,0.8465
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,entangled_pi,3.141593,pi_over_2,1.570796,256,0.313241,0.5,0.8425,0.8213,0.88,0.8487
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,entangled_pi,3.141593,pi_over_2,1.570796,256,0.313241,1.0,0.8412,0.8224,0.875,0.8468
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,entangled_pi,3.141593,pi_over_2,1.570796,256,0.313241,2.0,0.8425,0.8228,0.8775,0.8483
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,entangled_pi,3.141593,pi_over_2,1.570796,256,0.313241,5.0,0.8388,0.8199,0.8725,0.8445
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,entangled_pi_over_2,1.570796,pi_over_2,1.570796,256,0.313009,0.5,0.8412,0.821,0.8775,0.8473
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,entangled_pi_over_2,1.570796,pi_over_2,1.570796,256,0.313009,1.0,0.84,0.8221,0.8725,0.8454
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,entangled_pi_over_2,1.570796,pi_over_2,1.570796,256,0.313009,2.0,0.84,0.822,0.8725,0.8454
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,entangled_pi_over_2,1.570796,pi_over_2,1.570796,256,0.313009,5.0,0.8388,0.8215,0.87,0.844
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,product,0.0,pi_over_2,1.570796,256,0.312278,0.5,0.8412,0.821,0.8775,0.8473
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,product,0.0,pi_over_2,1.570796,256,0.312278,1.0,0.84,0.8221,0.8725,0.8454
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,product,0.0,pi_over_2,1.570796,256,0.312278,2.0,0.8388,0.8216,0.87,0.844
rf_top_8,8,formation_energy_per_atom;has_o;space_group_number;theoretical;band_gap;battery_family_Other lithium material;crystal_system_Triclinic;has_mn,product,0.0,pi_over_2,1.570796,256,0.312278,5.0,0.8362,0.8194,0.8675,0.8416
