material_id,formula,battery_family,india_feasibility_score,india_decision_label,target_is_stable,improved_pca_1,improved_pca_2,improved_pca_3,improved_pca_4,improved_pca_5,improved_pca_6,improved_pca_7,improved_pca_8
mp-859106,Li3Ni2(PO3)7,Other lithium material,49,Caution,0,0.555391,0.334681,0.887355,0.615341,0.589091,0.604191,0.40817,0.223999
mp-774464,LiCo(SO4)2,LCO-family,42,Avoid / Benchmark,0,0.868194,0.092797,0.337883,0.591728,0.567436,1.001789,0.144356,0.457466
mp-1178081,Li12Mn3CoP4(CO7)4,LCO-family,48,Avoid / Benchmark,0,1.0,0.588022,0.072606,0.695973,0.68929,0.642016,0.583643,0.264464
mp-1307939,Li4Co3NiO8,LCO-family,37,Avoid / Benchmark,0,0.86479,0.106783,0.387998,0.587485,0.701113,0.993632,0.296584,0.382098
mp-3252438,LiLa7CeIr6,Other lithium material,61,Caution,1,0.16808,0.446741,0.478318,0.761282,0.516674,0.601393,0.357604,0.154979
mp-1176025,Li9Mn2Co5O16,LCO-family,44,Avoid / Benchmark,0,0.965331,0.002889,0.295962,0.647276,0.640178,0.811868,0.632666,0.231323
mp-10251,LiDyO2,Other lithium material,55,Caution,0,0.532056,0.996839,0.629371,0.330715,0.478414,0.570116,0.526933,0.262287
mp-1316064,Li2V3SbO8,Other lithium material,55,Caution,0,0.558062,0.888052,0.625039,0.725409,0.646429,0.457038,0.385835,0.196107
mp-1222533,Li4SiGe3O10,Silicon-family,77,Research Candidate,0,0.71902,0.194536,0.675803,0.627858,0.443999,0.478573,0.246303,0.26056
mp-3249849,LiCeCdPt3,Other lithium material,51,Caution,1,0.160253,0.442569,0.471912,0.754493,0.522799,0.593172,0.356465,0.156214
mp-777875,LiFeF4,Other lithium material,54,Caution,0,0.241283,0.494586,0.660482,0.819515,0.465254,0.588959,0.429173,0.92382
mp-3249015,LiPmInAg,Other lithium material,61,Caution,1,0.040648,0.358384,0.341415,0.644877,0.690736,0.311886,0.41232,0.329064
mp-757188,Li2MnSi4O11,LMO-family,82,Research Candidate,0,0.686534,0.300848,0.374153,0.620031,0.46317,0.169771,0.47812,0.036639
mp-765412,Li4V3P8O29,Other lithium material,55,Caution,0,0.549016,0.308957,0.868916,0.662824,0.601256,0.612783,0.420361,0.179954
mp-757311,Li2Fe3(Si3O8)2,Silicon-family,80,Research Candidate,0,0.750383,0.187873,0.770482,0.595339,0.45304,0.404148,0.107343,0.599432
mp-1110938,K2LiPrI6,Other lithium material,51,Caution,0,0.046166,0.379895,0.357019,0.59772,0.685307,0.295251,0.403663,0.374741
mp-3247032,LiTmUPt3,Other lithium material,61,Caution,1,0.348958,0.831484,0.473045,0.92827,0.458094,0.606426,0.43737,0.238059
mp-1177159,Li5Fe4(P2O7)4,LFP-family,94,Recommend,0,0.74602,0.174384,0.760272,0.62045,0.458564,0.410165,0.112827,0.574834
mp-759028,Li3Sb3(PO4)4,Other lithium material,53,Caution,0,0.566708,0.902154,0.63775,0.709273,0.637289,0.458266,0.381716,0.215164
mp-3252103,LiTbDyRu,Other lithium material,61,Caution,1,0.039869,0.357924,0.340737,0.645563,0.690582,0.312653,0.412,0.327645
mp-1373887,Li9Mn2Co5O16,LCO-family,39,Avoid / Benchmark,0,0.960374,0.0,0.291667,0.651574,0.639178,0.816745,0.630606,0.222344
mp-3239824,Li2LaPt3,Other lithium material,61,Caution,1,0.133441,0.434367,0.451558,0.742788,0.53173,0.582605,0.360538,0.155792
mp-867926,LiInPd2,Other lithium material,61,Caution,1,0.027479,0.35753,0.332295,0.642657,0.690306,0.312916,0.418735,0.329149
mp-850927,Li2Co(SO4)2,LCO-family,46,Avoid / Benchmark,0,0.755161,0.324788,0.151248,0.512657,0.629785,0.885203,0.0369,0.40636
mp-3329272,Li2PrP2Pd,Other lithium material,63,Caution,1,0.163493,0.444353,0.474616,0.755549,0.521247,0.594533,0.357202,0.157689
