material_id,formula,battery_family,india_feasibility_score,india_decision_label,is_stable,target_is_stable,space_group_number,band_gap,formation_energy_per_atom,number_of_elements,has_fe,has_p,has_mn,has_c,has_si,has_s,scaled_space_group_number,scaled_band_gap,scaled_formation_energy_per_atom,scaled_number_of_elements,scaled_has_fe,scaled_has_p,scaled_has_mn,scaled_has_c,scaled_has_si,scaled_has_s
mp-859106,Li3Ni2(PO3)7,Other lithium material,49,Caution,0,0,2,4.0723,-2.438254789,4,0,1,0,0,0,0,0.004367,0.545015,0.196732,0.5,0.0,1.0,0.0,0.0,0.0,0.0
mp-774464,LiCo(SO4)2,LCO-family,42,Avoid / Benchmark,0,0,1,0.661,-1.758371853,4,0,0,0,0,0,1,0.0,0.088465,0.28081,0.5,0.0,0.0,0.0,0.0,0.0,1.0
mp-1178081,Li12Mn3CoP4(CO7)4,LCO-family,48,Avoid / Benchmark,0,0,6,2.0535,-2.382328198,6,0,1,1,1,0,0,0.021834,0.27483,0.203649,1.0,0.0,1.0,1.0,1.0,0.0,0.0
mp-1307939,Li4Co3NiO8,LCO-family,37,Avoid / Benchmark,0,0,2,0.4467,-1.631679294,4,0,0,0,0,0,0,0.004367,0.059784,0.296478,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-3252438,LiLa7CeIr6,Other lithium material,61,Caution,1,1,146,0.0,-0.765273039,4,0,0,0,0,0,0,0.633188,0.0,0.403622,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1176025,Li9Mn2Co5O16,LCO-family,44,Avoid / Benchmark,0,0,1,0.0,-1.814070317,4,0,0,1,0,0,0,0.0,0.0,0.273922,0.5,0.0,0.0,1.0,0.0,0.0,0.0
mp-10251,LiDyO2,Other lithium material,55,Caution,0,0,14,3.9643,-3.273900815,3,0,0,0,0,0,0,0.056769,0.530561,0.093392,0.25,0.0,0.0,0.0,0.0,0.0,0.0
mp-1316064,Li2V3SbO8,Other lithium material,55,Caution,0,0,13,1.8199,-2.406606717,4,0,0,0,0,0,0,0.052402,0.243566,0.200646,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mp-1222533,Li4SiGe3O10,Silicon-family,77,Research Candidate,0,0,1,0.0003,-2.399805777,4,0,0,0,0,1,0,0.0,4e-05,0.201487,0.5,0.0,0.0,0.0,0.0,1.0,0.0
mp-3249849,LiCeCdPt3,Other lithium material,51,Caution,1,1,160,0.0,-0.888349478,4,0,0,0,0,0,0,0.694323,0.0,0.388402,0.5,0.0,0.0,0.0,0.0,0.0,0.0
